
day,hr,days,trips,trips_per_day
3,14,157,5155,32.8343949044586
3,15,157,7318,46.611464968152866
3,16,157,16434,104.67515923566879
3,17,157,25458,162.15286624203821
3,18,157,17464,111.23566878980891
3,19,157,8131,51.789808917197455
3,20,157,4384,27.923566878980893
3,21,157,2731,17.394904458598727
3,22,157,1703,10.847133757961783
3,23,154,860,5.584415584415584
4,0,135,359,2.6592592592592594
4,1,96,190,1.9791666666666667
4,2,61,96,1.5737704918032787
4,3,70,84,1.2
4,4,120,256,2.1333333333333333
4,5,154,1059,6.876623376623376
4,6,155,4176,26.941935483870967
4,7,157,13827,88.07006369426752
4,8,157,27043,172.2484076433121
4,9,157,18925,120.54140127388536
4,10,157,7068,45.01910828025478
4,11,157,6085,38.75796178343949
4,12,157,7199,45.853503184713375
4,13,157,6478,41.261146496815286
4,14,157,5243,33.394904458598724
4,15,157,7385,47.038216560509554
4,16,157,15942,101.54140127388536
4,17,157,24650,157.0063694267516
4,18,157,16728,106.54777070063695
4,19,157,7821,49.81528662420382
4,20,157,4388,27.94904458598726
4,21,157,2940,18.726114649681527
4,22,157,1856,11.821656050955413
4,23,155,969,6.251612903225807
5,0,137,380,2.7737226277372264
5,1,100,175,1.75
5,2,48,90,1.875
5,3,68,87,1.2794117647058822
5,4,118,261,2.211864406779661
5,5,148,963,6.506756756756757
5,6,153,3940,25.751633986928105
5,7,156,13360,85.64102564102564
5,8,155,26014,167.83225806451614
5,9,157,18247,116.22292993630573
5,10,157,7091,45.1656050955414
5,11,157,6572,41.859872611464965
5,12,157,7715,49.140127388535035
5,13,157,6997,44.56687898089172
5,14,157,5718,36.4203821656051
5,15,157,7539,48.01910828025478
5,16,157,15481,98.60509554140127
5,17,157,23312,148.48407643312103
5,18,157,15740,100.2547770700637
5,19,156,7517,48.18589743589744
5,20,157,4045,25.764331210191084
5,21,157,2753,17.53503184713376
5,22,156,1837,11.775641025641026
5,23,155,1074,6.929032258064516
6,0,143,427,2.986013986013986
6,1,102,202,1.9803921568627452
6,2,62,95,1.532258064516129
6,3,62,80,1.2903225806451613
6,4,119,237,1.9915966386554622
6,5,151,856,5.66887417218543
6,6,157,3364,21.426751592356688
6,7,156,11224,71.94871794871794
6,8,157,22361,142.42675159235668
6,9,157,16678,106.22929936305732
6,10,157,7021,44.71974522292994
6,11,157,6554,41.745222929936304
6,12,157,7482,47.65605095541401
6,13,157,7357,46.859872611464965
6,14,157,6522,41.54140127388535
6,15,157,8335,53.089171974522294
6,16,157,15574,99.19745222929936
6,17,157,20206,128.70063694267515
6,18,157,12240,77.96178343949045
6,19,157,5453,34.732484076433124
6,20,156,2801,17.955128205128204
6,21,156,2021,12.955128205128204
6,22,156,1661,10.647435897435898
6,23,156,1226,7.858974358974359
7,0,151,645,4.271523178807947
7,1,138,418,3.028985507246377
7,2,110,225,2.0454545454545454
7,3,46,74,1.608695652173913
7,4,43,69,1.6046511627906976
7,5,84,137,1.630952380952381
7,6,136,346,2.5441176470588234
7,7,155,902,5.819354838709677
7,8,157,2100,13.375796178343949
7,9,157,3091,19.687898089171973
7,10,157,4238,26.993630573248407
7,11,157,5201,33.12738853503185
7,12,157,5726,36.47133757961783
7,13,157,5767,36.732484076433124
7,14,157,5457,34.75796178343949
7,15,157,5241,33.382165605095544
7,16,157,5177,32.97452229299363
7,17,157,4185,26.656050955414013
7,18,157,3552,22.62420382165605
7,19,157,2404,15.312101910828025
7,20,155,1807,11.658064516129032
7,21,153,1355,8.856209150326798
7,22,155,1234,7.961290322580645
7,23,155,928,5.987096774193549
