
start_station_name,end_station_name,trips
Temporary Transbay Terminal (Howard at Beale),Steuart at Market,539
Embarcadero at Vallejo,San Francisco Caltrain 2 (330 Townsend),538
Embarcadero at Folsom,Market at Sansome,536
Yerba Buena Center of the Arts (3rd @ Howard),Steuart at Market,535
Harry Bridges Plaza (Ferry Building),Post at Kearny,534
Beale at Market,Davis at Jackson,532
Market at Sansome,Market at Sansome,531
2nd at South Park,Yerba Buena Center of the Arts (3rd @ Howard),531
5th at Howard,Civic Center BART (7th at Market),530
SJSU - San Salvador at 9th,San Jose Diridon Caltrain Station,530
San Jose Civic Center,San Jose Diridon Caltrain Station,529
Mechanics Plaza (Market at Battery),2nd at Townsend,529
2nd at South Park,2nd at Townsend,528
San Jose Diridon Caltrain Station,SJSU - San Salvador at 9th,527
San Francisco Caltrain 2 (330 Townsend),San Francisco Caltrain 2 (330 Townsend),526
Market at 4th,Spear at Folsom,526
2nd at Folsom,Clay at Battery,526
Market at Sansome,5th at Howard,525
Spear at Folsom,Mechanics Plaza (Market at Battery),524
Townsend at 7th,Golden Gate at Polk,523
Mechanics Plaza (Market at Battery),Davis at Jackson,521
5th at Howard,Howard at 2nd,519
Embarcadero at Sansome,Civic Center BART (7th at Market),519
San Francisco Caltrain (Townsend at 4th),Powell at Post (Union Square),519
Market at 10th,2nd at South Park,516
Clay at Battery,Clay at Battery,514
San Francisco City Hall,Powell Street BART,513
San Jose City Hall,San Salvador at 1st,511
Embarcadero at Sansome,Commercial at Montgomery,511
Grant Avenue at Columbus Avenue,San Francisco Caltrain 2 (330 Townsend),510
2nd at South Park,2nd at South Park,510
Powell at Post (Union Square),2nd at South Park,510
San Jose Civic Center,San Jose Civic Center,509
Embarcadero at Bryant,Spear at Folsom,508
Powell at Post (Union Square),Beale at Market,507
Beale at Market,Harry Bridges Plaza (Ferry Building),506
Market at 4th,Davis at Jackson,506
South Van Ness at Market,Beale at Market,506
South Van Ness at Market,South Van Ness at Market,504
Palo Alto Caltrain Station,Park at Olive,504
Powell at Post (Union Square),Grant Avenue at Columbus Avenue,503
Mechanics Plaza (Market at Battery),Steuart at Market,502
Embarcadero at Folsom,2nd at South Park,499
Clay at Battery,Harry Bridges Plaza (Ferry Building),498
Embarcadero at Sansome,Broadway St at Battery St,496
Embarcadero at Sansome,Washington at Kearny,490
2nd at South Park,5th at Howard,489
Harry Bridges Plaza (Ferry Building),Spear at Folsom,488
Powell at Post (Union Square),Mechanics Plaza (Market at Battery),488
Powell Street BART,Golden Gate at Polk,487
Townsend at 7th,Yerba Buena Center of the Arts (3rd @ Howard),487
Broadway St at Battery St,Embarcadero at Sansome,487
Embarcadero at Sansome,South Van Ness at Market,486
Market at Sansome,Howard at 2nd,486
South Van Ness at Market,Embarcadero at Sansome,485
Yerba Buena Center of the Arts (3rd @ Howard),2nd at South Park,485
Civic Center BART (7th at Market),5th at Howard,484
Embarcadero at Bryant,Beale at Market,484
Embarcadero at Folsom,Embarcadero at Folsom,484
Post at Kearny,Steuart at Market,484
Steuart at Market,Davis at Jackson,484
2nd at Folsom,Howard at 2nd,482
Golden Gate at Polk,Market at 10th,479
San Francisco City Hall,San Francisco Caltrain (Townsend at 4th),479
Market at Sansome,Beale at Market,478
Commercial at Montgomery,Spear at Folsom,477
Golden Gate at Polk,Yerba Buena Center of the Arts (3rd @ Howard),476
Market at Sansome,Spear at Folsom,473
Golden Gate at Polk,Powell Street BART,472
Market at 10th,Powell at Post (Union Square),472
Townsend at 7th,Embarcadero at Folsom,471
Beale at Market,Grant Avenue at Columbus Avenue,471
5th at Howard,5th at Howard,471
5th at Howard,Embarcadero at Sansome,469
Townsend at 7th,Embarcadero at Bryant,468
2nd at South Park,Powell Street BART,468
San Francisco Caltrain 2 (330 Townsend),Washington at Kearny,465
Embarcadero at Sansome,Golden Gate at Polk,465
Beale at Market,Market at 10th,465
Harry Bridges Plaza (Ferry Building),Davis at Jackson,465
2nd at Folsom,5th at Howard,463
Davis at Jackson,Market at 4th,462
South Van Ness at Market,Mechanics Plaza (Market at Battery),460
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Bryant,454
Spear at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),454
Embarcadero at Vallejo,2nd at South Park,454
Yerba Buena Center of the Arts (3rd @ Howard),Market at Sansome,452
Embarcadero at Sansome,Howard at 2nd,450
San Salvador at 1st,MLK Library,449
Civic Center BART (7th at Market),Golden Gate at Polk,449
Clay at Battery,Market at 4th,448
Rengstorff Avenue / California Street,Mountain View Caltrain Station,448
Broadway St at Battery St,Harry Bridges Plaza (Ferry Building),448
Embarcadero at Bryant,Temporary Transbay Terminal (Howard at Beale),447
Post at Kearny,Market at 10th,447
Market at 4th,Howard at 2nd,447
Harry Bridges Plaza (Ferry Building),Broadway St at Battery St,446
Yerba Buena Center of the Arts (3rd @ Howard),Yerba Buena Center of the Arts (3rd @ Howard),446
Broadway St at Battery St,Embarcadero at Bryant,445
Mechanics Plaza (Market at Battery),Broadway St at Battery St,443
San Francisco City Hall,Market at 4th,443
Powell at Post (Union Square),Powell Street BART,440
Powell Street BART,Temporary Transbay Terminal (Howard at Beale),440
Temporary Transbay Terminal (Howard at Beale),Beale at Market,439
2nd at Folsom,Steuart at Market,438
Golden Gate at Polk,Steuart at Market,437
Market at 4th,2nd at Folsom,436
Mechanics Plaza (Market at Battery),Mechanics Plaza (Market at Battery),436
Market at 4th,Embarcadero at Bryant,434
Steuart at Market,Grant Avenue at Columbus Avenue,433
Yerba Buena Center of the Arts (3rd @ Howard),2nd at Townsend,433
Spear at Folsom,Davis at Jackson,430
Market at 10th,2nd at Folsom,430
Market at Sansome,Clay at Battery,430
Spear at Folsom,5th at Howard,429
Post at Kearny,Townsend at 7th,428
Market at 4th,Commercial at Montgomery,428
Commercial at Montgomery,Embarcadero at Sansome,426
Spear at Folsom,Howard at 2nd,426
Commercial at Montgomery,Beale at Market,423
Steuart at Market,Powell Street BART,423
Steuart at Market,5th at Howard,423
2nd at Folsom,Commercial at Montgomery,420
San Francisco Caltrain (Townsend at 4th),Washington at Kearny,420
Powell Street BART,Market at 4th,420
Golden Gate at Polk,Civic Center BART (7th at Market),419
Temporary Transbay Terminal (Howard at Beale),Davis at Jackson,416
Post at Kearny,Embarcadero at Sansome,415
Grant Avenue at Columbus Avenue,Market at 10th,414
Powell Street BART,Mechanics Plaza (Market at Battery),412
Clay at Battery,Market at Sansome,411
Yerba Buena Center of the Arts (3rd @ Howard),Powell Street BART,411
Mechanics Plaza (Market at Battery),Spear at Folsom,410
Mountain View Caltrain Station,Rengstorff Avenue / California Street,410
Golden Gate at Polk,Market at 4th,406
Market at 10th,Howard at 2nd,406
Commercial at Montgomery,Powell at Post (Union Square),404
2nd at South Park,Powell at Post (Union Square),403
Clay at Battery,Broadway St at Battery St,403
Spear at Folsom,Embarcadero at Bryant,403
Powell at Post (Union Square),Washington at Kearny,403
Townsend at 7th,2nd at South Park,400
2nd at Townsend,Commercial at Montgomery,400
Embarcadero at Folsom,Embarcadero at Vallejo,400
Post at Kearny,Grant Avenue at Columbus Avenue,399
Embarcadero at Folsom,Howard at 2nd,399
San Francisco City Hall,San Francisco City Hall,399
Japantown,San Pedro Square,397
San Pedro Square,Japantown,397
Embarcadero at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),397
Powell at Post (Union Square),Broadway St at Battery St,396
2nd at South Park,Mechanics Plaza (Market at Battery),396
South Van Ness at Market,Steuart at Market,396
Howard at 2nd,Embarcadero at Folsom,396
2nd at Townsend,Powell at Post (Union Square),396
2nd at Townsend,Post at Kearny,395
2nd at Folsom,Market at 10th,394
Embarcadero at Folsom,Washington at Kearny,393
Powell at Post (Union Square),2nd at Townsend,393
Civic Center BART (7th at Market),Beale at Market,393
Harry Bridges Plaza (Ferry Building),Clay at Battery,393
Spear at Folsom,Spear at Folsom,392
Embarcadero at Folsom,Mechanics Plaza (Market at Battery),391
2nd at South Park,Embarcadero at Folsom,390
Howard at 2nd,South Van Ness at Market,389
Market at Sansome,Embarcadero at Bryant,389
5th at Howard,2nd at Folsom,388
Park at Olive,Palo Alto Caltrain Station,387
Howard at 2nd,Market at 10th,387
Powell at Post (Union Square),Yerba Buena Center of the Arts (3rd @ Howard),387
Powell at Post (Union Square),Civic Center BART (7th at Market),386
2nd at Townsend,2nd at South Park,386
Embarcadero at Vallejo,Embarcadero at Folsom,385
Howard at 2nd,Embarcadero at Sansome,385
Market at 10th,2nd at Townsend,384
Grant Avenue at Columbus Avenue,Post at Kearny,384
5th at Howard,2nd at South Park,384
Redwood City Caltrain Station,Redwood City Medical Center,383
Townsend at 7th,Post at Kearny,383
Powell at Post (Union Square),5th at Howard,381
Golden Gate at Polk,5th at Howard,380
Davis at Jackson,Harry Bridges Plaza (Ferry Building),379
Santa Clara at Almaden,SJSU 4th at San Carlos,379
5th at Howard,Spear at Folsom,379
Commercial at Montgomery,2nd at Townsend,377
Embarcadero at Sansome,Yerba Buena Center of the Arts (3rd @ Howard),377
Embarcadero at Bryant,Broadway St at Battery St,376
Grant Avenue at Columbus Avenue,Davis at Jackson,376
Golden Gate at Polk,South Van Ness at Market,375
Powell at Post (Union Square),Post at Kearny,375
Grant Avenue at Columbus Avenue,Townsend at 7th,374
Spear at Folsom,Market at 4th,374
Steuart at Market,Clay at Battery,372
2nd at Townsend,5th at Howard,371
5th at Howard,Commercial at Montgomery,371
San Francisco Caltrain 2 (330 Townsend),San Francisco City Hall,370
Broadway St at Battery St,Davis at Jackson,369
5th at Howard,Post at Kearny,367
5th at Howard,South Van Ness at Market,366
2nd at South Park,Market at 10th,365
Temporary Transbay Terminal (Howard at Beale),Temporary Transbay Terminal (Howard at Beale),364
San Salvador at 1st,San Jose Diridon Caltrain Station,363
San Francisco City Hall,Townsend at 7th,363
Grant Avenue at Columbus Avenue,2nd at South Park,363
Market at 10th,Golden Gate at Polk,362
Market at 4th,Powell Street BART,362
Spear at Folsom,Beale at Market,362
Market at 4th,Clay at Battery,362
South Van Ness at Market,Market at 10th,361
Washington at Kearny,Market at Sansome,361
2nd at South Park,Embarcadero at Sansome,360
Broadway St at Battery St,Market at 4th,360
Powell Street BART,2nd at Townsend,358
Yerba Buena Center of the Arts (3rd @ Howard),South Van Ness at Market,358
Howard at 2nd,Powell Street BART,357
Cowper at University,University and Emerson,357
Steuart at Market,Market at Sansome,357
South Van Ness at Market,5th at Howard,355
San Francisco City Hall,Market at Sansome,354
SJSU - San Salvador at 9th,Paseo de San Antonio,354
San Francisco Caltrain 2 (330 Townsend),Powell at Post (Union Square),353
2nd at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),352
Civic Center BART (7th at Market),Harry Bridges Plaza (Ferry Building),352
Temporary Transbay Terminal (Howard at Beale),Spear at Folsom,351
Commercial at Montgomery,5th at Howard,350
2nd at Folsom,Embarcadero at Folsom,350
Embarcadero at Sansome,5th at Howard,350
Market at 4th,Washington at Kearny,349
Market at 10th,Washington at Kearny,348
Market at 10th,Embarcadero at Sansome,348
Davis at Jackson,Powell at Post (Union Square),347
Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Sansome,346
San Jose Diridon Caltrain Station,San Salvador at 1st,346
South Van Ness at Market,Harry Bridges Plaza (Ferry Building),346
Commercial at Montgomery,2nd at South Park,346
Civic Center BART (7th at Market),Mechanics Plaza (Market at Battery),346
California Ave Caltrain Station,Palo Alto Caltrain Station,345
2nd at South Park,Washington at Kearny,344
Broadway St at Battery St,Powell at Post (Union Square),344
Embarcadero at Folsom,Grant Avenue at Columbus Avenue,343
South Van Ness at Market,2nd at South Park,343
Davis at Jackson,Broadway St at Battery St,342
Beale at Market,Beale at Market,341
Washington at Kearny,Harry Bridges Plaza (Ferry Building),341
Post at Kearny,Howard at 2nd,340
Steuart at Market,Powell at Post (Union Square),339
Powell at Post (Union Square),Commercial at Montgomery,339
Clay at Battery,Mechanics Plaza (Market at Battery),338
Market at Sansome,Embarcadero at Vallejo,337
Davis at Jackson,Mechanics Plaza (Market at Battery),335
Howard at 2nd,Powell at Post (Union Square),334
California Ave Caltrain Station,University and Emerson,333
Commercial at Montgomery,Broadway St at Battery St,330
Howard at 2nd,Howard at 2nd,329
Golden Gate at Polk,Beale at Market,328
Golden Gate at Polk,Embarcadero at Sansome,325
Market at 10th,South Van Ness at Market,325
Powell at Post (Union Square),2nd at Folsom,325
Howard at 2nd,Yerba Buena Center of the Arts (3rd @ Howard),325
2nd at Townsend,Grant Avenue at Columbus Avenue,324
Post at Kearny,Commercial at Montgomery,324
Steuart at Market,Market at 10th,323
Market at 4th,Embarcadero at Vallejo,323
Davis at Jackson,Embarcadero at Folsom,323
Commercial at Montgomery,Howard at 2nd,322
Steuart at Market,Temporary Transbay Terminal (Howard at Beale),322
Spear at Folsom,2nd at Folsom,321
Yerba Buena Center of the Arts (3rd @ Howard),Grant Avenue at Columbus Avenue,321
Market at Sansome,Golden Gate at Polk,319
Grant Avenue at Columbus Avenue,Civic Center BART (7th at Market),318
South Van Ness at Market,Spear at Folsom,318
Davis at Jackson,Embarcadero at Bryant,316
Embarcadero at Vallejo,Market at 4th,316
Embarcadero at Sansome,Market at 10th,315
Harry Bridges Plaza (Ferry Building),Embarcadero at Folsom,315
Market at 4th,San Francisco City Hall,315
Embarcadero at Sansome,Post at Kearny,315
Broadway St at Battery St,Broadway St at Battery St,314
Washington at Kearny,Market at 4th,314
Washington at Kearny,Washington at Kearny,314
Embarcadero at Folsom,Davis at Jackson,313
Post at Kearny,Temporary Transbay Terminal (Howard at Beale),313
Temporary Transbay Terminal (Howard at Beale),Post at Kearny,313
California Ave Caltrain Station,California Ave Caltrain Station,312
2nd at South Park,Clay at Battery,312
Beale at Market,Market at Sansome,309
South Van Ness at Market,Golden Gate at Polk,307
Powell Street BART,Grant Avenue at Columbus Avenue,307
Mechanics Plaza (Market at Battery),2nd at South Park,306
Yerba Buena Center of the Arts (3rd @ Howard),Temporary Transbay Terminal (Howard at Beale),305
St James Park,San Pedro Square,305
Washington at Kearny,Mechanics Plaza (Market at Battery),304
Beale at Market,Powell at Post (Union Square),304
2nd at Folsom,Embarcadero at Bryant,304
Arena Green / SAP Center,Arena Green / SAP Center,303
Paseo de San Antonio,SJSU - San Salvador at 9th,303
Powell at Post (Union Square),South Van Ness at Market,300
San Francisco City Hall,South Van Ness at Market,299
Howard at 2nd,Embarcadero at Bryant,299
Rengstorff Avenue / California Street,San Antonio Caltrain Station,299
SJSU 4th at San Carlos,Santa Clara at Almaden,298
Commercial at Montgomery,Commercial at Montgomery,298
2nd at Folsom,Washington at Kearny,297
Clay at Battery,Spear at Folsom,296
Spear at Folsom,Market at 10th,295
Grant Avenue at Columbus Avenue,Howard at 2nd,295
Market at 10th,Spear at Folsom,294
Mechanics Plaza (Market at Battery),5th at Howard,294
Santa Clara at Almaden,Santa Clara at Almaden,294
Clay at Battery,Howard at 2nd,293
2nd at South Park,Commercial at Montgomery,293
Embarcadero at Bryant,Davis at Jackson,292
San Antonio Caltrain Station,Rengstorff Avenue / California Street,292
Clay at Battery,Embarcadero at Bryant,290
Davis at Jackson,Steuart at Market,288
Spear at Folsom,Market at Sansome,288
Grant Avenue at Columbus Avenue,Yerba Buena Center of the Arts (3rd @ Howard),288
Civic Center BART (7th at Market),2nd at South Park,288
Post at Kearny,South Van Ness at Market,288
Commercial at Montgomery,Post at Kearny,288
Beale at Market,Embarcadero at Folsom,288
Civic Center BART (7th at Market),Grant Avenue at Columbus Avenue,286
Washington at Kearny,Temporary Transbay Terminal (Howard at Beale),286
2nd at South Park,Beale at Market,285
2nd at Folsom,2nd at Folsom,285
San Pedro Square,St James Park,285
2nd at Folsom,Beale at Market,285
2nd at Folsom,Embarcadero at Sansome,284
Harry Bridges Plaza (Ferry Building),Washington at Kearny,284
Powell at Post (Union Square),Market at 4th,284
Japantown,Japantown,284
Davis at Jackson,Grant Avenue at Columbus Avenue,284
San Jose Diridon Caltrain Station,SJSU 4th at San Carlos,283
Washington at Kearny,Beale at Market,283
Yerba Buena Center of the Arts (3rd @ Howard),Spear at Folsom,282
South Van Ness at Market,Howard at 2nd,282
Civic Center BART (7th at Market),Powell at Post (Union Square),281
Powell Street BART,Commercial at Montgomery,281
Washington at Kearny,San Francisco Caltrain (Townsend at 4th),280
Golden Gate at Polk,Golden Gate at Polk,280
Embarcadero at Folsom,Market at 4th,280
Market at Sansome,Powell at Post (Union Square),280
Market at 10th,Commercial at Montgomery,279
San Pedro Square,San Pedro Square,278
Mechanics Plaza (Market at Battery),Washington at Kearny,278
Post at Kearny,2nd at Townsend,278
Market at 4th,Golden Gate at Polk,278
2nd at Townsend,Powell Street BART,278
Mezes Park,Redwood City Caltrain Station,277
Steuart at Market,Civic Center BART (7th at Market),277
2nd at South Park,Grant Avenue at Columbus Avenue,276
Mountain View Caltrain Station,San Antonio Shopping Center,276
Embarcadero at Bryant,Howard at 2nd,274
Spear at Folsom,Broadway St at Battery St,273
Paseo de San Antonio,Japantown,273
Davis at Jackson,Embarcadero at Vallejo,273
Howard at 2nd,Spear at Folsom,272
Howard at 2nd,Temporary Transbay Terminal (Howard at Beale),272
Clay at Battery,Powell at Post (Union Square),271
Post at Kearny,Davis at Jackson,271
Post at Kearny,Mechanics Plaza (Market at Battery),271
Steuart at Market,Post at Kearny,270
Spear at Folsom,Embarcadero at Vallejo,268
Grant Avenue at Columbus Avenue,2nd at Folsom,268
Spear at Folsom,Clay at Battery,268
2nd at Folsom,Grant Avenue at Columbus Avenue,268
San Francisco Caltrain (Townsend at 4th),San Francisco City Hall,268
Temporary Transbay Terminal (Howard at Beale),Washington at Kearny,267
2nd at Folsom,Powell at Post (Union Square),267
Post at Kearny,Powell Street BART,266
Civic Center BART (7th at Market),Washington at Kearny,265
Embarcadero at Vallejo,Grant Avenue at Columbus Avenue,264
2nd at Folsom,Civic Center BART (7th at Market),263
Market at 10th,Davis at Jackson,263
Washington at Kearny,2nd at South Park,263
Civic Center BART (7th at Market),Clay at Battery,262
San Jose City Hall,San Jose City Hall,261
Harry Bridges Plaza (Ferry Building),South Van Ness at Market,261
Embarcadero at Sansome,Townsend at 7th,259
Commercial at Montgomery,Market at 10th,258
Yerba Buena Center of the Arts (3rd @ Howard),Civic Center BART (7th at Market),258
University and Emerson,California Ave Caltrain Station,258
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,258
Post at Kearny,Broadway St at Battery St,257
South Van Ness at Market,Commercial at Montgomery,255
2nd at South Park,Embarcadero at Bryant,254
Mountain View City Hall,Mountain View City Hall,254
5th at Howard,2nd at Townsend,254
South Van Ness at Market,San Francisco City Hall,253
Embarcadero at Sansome,2nd at South Park,251
Powell at Post (Union Square),Spear at Folsom,251
Market at Sansome,Washington at Kearny,251
South Van Ness at Market,Yerba Buena Center of the Arts (3rd @ Howard),250
Powell Street BART,2nd at South Park,249
Powell Street BART,Powell at Post (Union Square),249
Market at Sansome,San Francisco City Hall,248
Embarcadero at Bryant,Market at Sansome,247
Powell Street BART,Post at Kearny,247
Embarcadero at Bryant,Market at 4th,246
Arena Green / SAP Center,San Pedro Square,246
Steuart at Market,Washington at Kearny,245
Beale at Market,Townsend at 7th,245
Market at 4th,Broadway St at Battery St,244
Commercial at Montgomery,Embarcadero at Folsom,243
Howard at 2nd,Civic Center BART (7th at Market),242
Post at Kearny,5th at Howard,241
Mechanics Plaza (Market at Battery),Post at Kearny,241
Market at 4th,Embarcadero at Folsom,240
Market at 10th,Grant Avenue at Columbus Avenue,240
Civic Center BART (7th at Market),Post at Kearny,239
5th at Howard,Beale at Market,239
Powell at Post (Union Square),Temporary Transbay Terminal (Howard at Beale),238
Market at 4th,Yerba Buena Center of the Arts (3rd @ Howard),238
Powell at Post (Union Square),Clay at Battery,238
MLK Library,Japantown,238
Embarcadero at Folsom,5th at Howard,237
San Antonio Shopping Center,Mountain View Caltrain Station,237
Washington at Kearny,San Francisco Caltrain 2 (330 Townsend),235
Grant Avenue at Columbus Avenue,South Van Ness at Market,235
Clay at Battery,Beale at Market,235
Beale at Market,Howard at 2nd,234
MLK Library,MLK Library,233
Clay at Battery,2nd at South Park,233
Spear at Folsom,Grant Avenue at Columbus Avenue,233
San Francisco City Hall,Market at 10th,232
Cowper at University,Cowper at University,232
Davis at Jackson,Post at Kearny,231
Powell Street BART,Embarcadero at Vallejo,231
Commercial at Montgomery,San Francisco City Hall,230
Townsend at 7th,Beale at Market,230
San Francisco City Hall,Embarcadero at Sansome,229
Castro Street and El Camino Real,Castro Street and El Camino Real,229
Beale at Market,South Van Ness at Market,229
Steuart at Market,Golden Gate at Polk,229
2nd at Townsend,Market at 10th,229
Powell Street BART,Howard at 2nd,228
Civic Center BART (7th at Market),Commercial at Montgomery,228
5th at Howard,Powell at Post (Union Square),228
Embarcadero at Vallejo,Mechanics Plaza (Market at Battery),228
Howard at 2nd,Clay at Battery,228
Mechanics Plaza (Market at Battery),Embarcadero at Vallejo,227
Temporary Transbay Terminal (Howard at Beale),Powell at Post (Union Square),227
Commercial at Montgomery,South Van Ness at Market,226
Yerba Buena Center of the Arts (3rd @ Howard),Powell at Post (Union Square),226
Mechanics Plaza (Market at Battery),Grant Avenue at Columbus Avenue,226
Redwood City Caltrain Station,Mezes Park,225
Powell Street BART,Clay at Battery,225
Post at Kearny,Post at Kearny,225
Santa Clara County Civic Center,San Pedro Square,225
Post at Kearny,Civic Center BART (7th at Market),225
2nd at South Park,Davis at Jackson,224
Harry Bridges Plaza (Ferry Building),Civic Center BART (7th at Market),223
Howard at 2nd,Post at Kearny,223
Spear at Folsom,Temporary Transbay Terminal (Howard at Beale),223
Paseo de San Antonio,San Salvador at 1st,222
Spear at Folsom,Powell Street BART,221
Harry Bridges Plaza (Ferry Building),Beale at Market,221
San Pedro Square,Ryland Park,219
Market at 4th,Powell at Post (Union Square),219
Townsend at 7th,Powell at Post (Union Square),218
Embarcadero at Bryant,2nd at Folsom,218
Broadway St at Battery St,Spear at Folsom,218
Redwood City Medical Center,Redwood City Caltrain Station,217
Commercial at Montgomery,Steuart at Market,217
Embarcadero at Vallejo,Davis at Jackson,216
Broadway St at Battery St,Embarcadero at Folsom,216
5th at Howard,Mechanics Plaza (Market at Battery),216
San Francisco City Hall,Harry Bridges Plaza (Ferry Building),215
Washington at Kearny,Post at Kearny,213
Japantown,MLK Library,212
Beale at Market,Civic Center BART (7th at Market),212
San Salvador at 1st,San Salvador at 1st,212
Clay at Battery,Civic Center BART (7th at Market),212
Ryland Park,San Pedro Square,211
Commercial at Montgomery,Grant Avenue at Columbus Avenue,211
2nd at South Park,Civic Center BART (7th at Market),211
2nd at South Park,South Van Ness at Market,211
5th at Howard,Golden Gate at Polk,211
Washington at Kearny,Market at 10th,210
Embarcadero at Folsom,Commercial at Montgomery,210
Davis at Jackson,Powell Street BART,210
Beale at Market,Yerba Buena Center of the Arts (3rd @ Howard),209
Mechanics Plaza (Market at Battery),Yerba Buena Center of the Arts (3rd @ Howard),209
Mechanics Plaza (Market at Battery),Howard at 2nd,209
Davis at Jackson,Howard at 2nd,208
San Salvador at 1st,Paseo de San Antonio,207
Embarcadero at Bryant,Yerba Buena Center of the Arts (3rd @ Howard),207
Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Bryant,207
Embarcadero at Folsom,Broadway St at Battery St,206
Golden Gate at Polk,Post at Kearny,206
South Van Ness at Market,2nd at Townsend,206
Embarcadero at Vallejo,Spear at Folsom,206
Clay at Battery,2nd at Folsom,206
Commercial at Montgomery,Civic Center BART (7th at Market),205
Clay at Battery,Steuart at Market,205
University and Emerson,Cowper at University,205
Paseo de San Antonio,Paseo de San Antonio,204
Beale at Market,5th at Howard,204
Townsend at 7th,Embarcadero at Sansome,204
Steuart at Market,South Van Ness at Market,204
Howard at 2nd,Commercial at Montgomery,203
Embarcadero at Vallejo,Powell Street BART,202
Civic Center BART (7th at Market),2nd at Folsom,202
2nd at Folsom,Post at Kearny,202
Powell at Post (Union Square),Golden Gate at Polk,201
Post at Kearny,Market at 4th,200
Grant Avenue at Columbus Avenue,Embarcadero at Bryant,200
Broadway St at Battery St,Civic Center BART (7th at Market),200
Clay at Battery,Embarcadero at Folsom,200
5th at Howard,Yerba Buena Center of the Arts (3rd @ Howard),200
2nd at Folsom,Mechanics Plaza (Market at Battery),200
Mechanics Plaza (Market at Battery),Clay at Battery,200
Powell at Post (Union Square),Embarcadero at Vallejo,199
Grant Avenue at Columbus Avenue,Washington at Kearny,199
Clay at Battery,Embarcadero at Vallejo,199
5th at Howard,Clay at Battery,199
Broadway St at Battery St,Post at Kearny,198
Clay at Battery,5th at Howard,197
Civic Center BART (7th at Market),Howard at 2nd,197
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Folsom,197
Yerba Buena Center of the Arts (3rd @ Howard),Market at 4th,196
Redwood City Caltrain Station,Redwood City Caltrain Station,196
2nd at Townsend,South Van Ness at Market,196
Townsend at 7th,Embarcadero at Vallejo,195
Commercial at Montgomery,Townsend at 7th,194
Townsend at 7th,Commercial at Montgomery,194
San Francisco City Hall,Mechanics Plaza (Market at Battery),194
Civic Center BART (7th at Market),San Francisco City Hall,194
Civic Center BART (7th at Market),2nd at Townsend,194
Spear at Folsom,Powell at Post (Union Square),193
Yerba Buena Center of the Arts (3rd @ Howard),Beale at Market,192
South Van Ness at Market,Embarcadero at Folsom,192
Civic Center BART (7th at Market),Yerba Buena Center of the Arts (3rd @ Howard),192
Howard at 2nd,Grant Avenue at Columbus Avenue,192
Japantown,San Jose City Hall,191
Golden Gate at Polk,Embarcadero at Vallejo,191
Steuart at Market,2nd at Folsom,191
Golden Gate at Polk,Harry Bridges Plaza (Ferry Building),190
2nd at Townsend,Civic Center BART (7th at Market),190
Washington at Kearny,Powell at Post (Union Square),190
South Van Ness at Market,Powell at Post (Union Square),189
Beale at Market,Post at Kearny,189
Davis at Jackson,2nd at South Park,189
SJSU 4th at San Carlos,San Jose Diridon Caltrain Station,189
Washington at Kearny,Embarcadero at Folsom,189
Evelyn Park and Ride,Evelyn Park and Ride,189
5th at Howard,Embarcadero at Vallejo,187
Yerba Buena Center of the Arts (3rd @ Howard),Post at Kearny,187
Mechanics Plaza (Market at Battery),Market at Sansome,187
Paseo de San Antonio,San Pedro Square,187
San Francisco City Hall,Civic Center BART (7th at Market),186
Ryland Park,San Jose Civic Center,186
Post at Kearney,Washington at Kearney,186
Grant Avenue at Columbus Avenue,5th at Howard,185
Embarcadero at Vallejo,Powell at Post (Union Square),184
Broadway St at Battery St,Commercial at Montgomery,183
Japantown,Ryland Park,183
2nd at Townsend,Washington at Kearny,182
Cowper at University,California Ave Caltrain Station,180
Market at Sansome,Mechanics Plaza (Market at Battery),180
Mechanics Plaza (Market at Battery),Golden Gate at Polk,180
5th at Howard,Embarcadero at Folsom,180
Embarcadero at Folsom,Beale at Market,179
Harry Bridges Plaza (Ferry Building),San Francisco City Hall,178
Embarcadero at Vallejo,Market at Sansome,178
Embarcadero at Bryant,2nd at South Park,178
MLK Library,SJSU - San Salvador at 9th,177
San Antonio Caltrain Station,San Antonio Caltrain Station,177
Clay at Battery,Yerba Buena Center of the Arts (3rd @ Howard),177
Post at Kearny,Clay at Battery,177
San Pedro Square,Paseo de San Antonio,177
Howard at 2nd,Embarcadero at Vallejo,177
Redwood City Caltrain Station,Franklin at Maple,176
Spear at Folsom,South Van Ness at Market,176
Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Folsom,175
Beale at Market,Steuart at Market,175
Clay at Battery,Post at Kearny,175
Golden Gate at Polk,Powell at Post (Union Square),175
St James Park,Japantown,174
SJSU - San Salvador at 9th,San Salvador at 1st,174
Washington at Kearny,5th at Howard,174
San Francisco Caltrain 2 (330 Townsend),San Francisco Caltrain (Townsend at 4th),174
