
start_station_name,end_station_name,trips
Embarcadero at Sansome,Temporary Transbay Terminal (Howard at Beale),1834
Harry Bridges Plaza (Ferry Building),Embarcadero at Vallejo,1833
Mechanics Plaza (Market at Battery),San Francisco Caltrain (Townsend at 4th),1828
San Francisco Caltrain (Townsend at 4th),Spear at Folsom,1824
South Van Ness at Market,San Francisco Caltrain 2 (330 Townsend),1819
Market at Sansome,Embarcadero at Sansome,1804
San Francisco Caltrain (Townsend at 4th),Embarcadero at Vallejo,1794
San Francisco Caltrain (Townsend at 4th),2nd at Folsom,1782
Commercial at Montgomery,San Francisco Caltrain (Townsend at 4th),1770
Steuart at Market,Embarcadero at Vallejo,1739
Harry Bridges Plaza (Ferry Building),Embarcadero at Bryant,1729
Beale at Market,Embarcadero at Sansome,1691
San Jose Diridon Caltrain Station,San Pedro Square,1676
Market at 4th,Temporary Transbay Terminal (Howard at Beale),1676
San Antonio Caltrain Station,San Antonio Shopping Center,1661
Spear at Folsom,2nd at Townsend,1661
2nd at Townsend,Townsend at 7th,1656
Temporary Transbay Terminal (Howard at Beale),Commercial at Montgomery,1655
San Antonio Shopping Center,San Antonio Caltrain Station,1653
Harry Bridges Plaza (Ferry Building),2nd at South Park,1651
Embarcadero at Bryant,Steuart at Market,1649
2nd at Folsom,Harry Bridges Plaza (Ferry Building),1641
Embarcadero at Vallejo,Embarcadero at Sansome,1637
Embarcadero at Bryant,Embarcadero at Vallejo,1632
Beale at Market,2nd at Townsend,1619
Embarcadero at Sansome,Beale at Market,1619
Market at 4th,San Francisco Caltrain 2 (330 Townsend),1617
Beale at Market,San Francisco Caltrain 2 (330 Townsend),1615
Grant Avenue at Columbus Avenue,Embarcadero at Folsom,1608
Embarcadero at Sansome,2nd at Townsend,1604
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain 2 (330 Townsend),1604
San Francisco Caltrain (Townsend at 4th),Mechanics Plaza (Market at Battery),1574
2nd at Townsend,Howard at 2nd,1571
San Pedro Square,San Jose Diridon Caltrain Station,1568
Grant Avenue at Columbus Avenue,San Francisco Caltrain (Townsend at 4th),1566
Beale at Market,Temporary Transbay Terminal (Howard at Beale),1550
Temporary Transbay Terminal (Howard at Beale),Market at 4th,1536
2nd at South Park,San Francisco Caltrain 2 (330 Townsend),1527
Powell Street BART,South Van Ness at Market,1515
Market at 10th,Market at Sansome,1514
San Francisco Caltrain (Townsend at 4th),Broadway St at Battery St,1513
Broadway St at Battery St,Steuart at Market,1470
Steuart at Market,Townsend at 7th,1469
2nd at Townsend,Embarcadero at Folsom,1469
Harry Bridges Plaza (Ferry Building),Market at Sansome,1461
Townsend at 7th,2nd at Townsend,1456
Embarcadero at Folsom,Embarcadero at Sansome,1450
Temporary Transbay Terminal (Howard at Beale),Broadway St at Battery St,1447
South Van Ness at Market,Civic Center BART (7th at Market),1445
2nd at Folsom,2nd at Townsend,1445
Embarcadero at Vallejo,San Francisco Caltrain (Townsend at 4th),1444
San Francisco Caltrain (Townsend at 4th),Market at 4th,1443
Embarcadero at Sansome,Embarcadero at Folsom,1438
Broadway St at Battery St,Beale at Market,1437
Davis at Jackson,Embarcadero at Sansome,1431
Market at 4th,Harry Bridges Plaza (Ferry Building),1430
South Van Ness at Market,Market at Sansome,1425
2nd at Folsom,San Francisco Caltrain 2 (330 Townsend),1410
South Van Ness at Market,Powell Street BART,1409
Commercial at Montgomery,Market at Sansome,1400
Evelyn Park and Ride,Mountain View Caltrain Station,1398
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Sansome,1397
San Jose Diridon Caltrain Station,Paseo de San Antonio,1397
5th at Howard,Temporary Transbay Terminal (Howard at Beale),1391
Market at Sansome,2nd at Folsom,1385
Embarcadero at Sansome,Market at Sansome,1374
San Francisco Caltrain (Townsend at 4th),2nd at South Park,1372
Powell Street BART,Townsend at 7th,1343
2nd at Townsend,Embarcadero at Sansome,1342
2nd at South Park,Howard at 2nd,1311
Embarcadero at Sansome,Clay at Battery,1308
Market at 10th,Townsend at 7th,1306
San Francisco Caltrain 2 (330 Townsend),Yerba Buena Center of the Arts (3rd @ Howard),1303
Market at 4th,Embarcadero at Sansome,1300
Howard at 2nd,2nd at South Park,1293
Embarcadero at Folsom,Embarcadero at Bryant,1290
Cowper at University,Palo Alto Caltrain Station,1285
South Van Ness at Market,San Francisco Caltrain (Townsend at 4th),1285
Commercial at Montgomery,Temporary Transbay Terminal (Howard at Beale),1285
Market at Sansome,Grant Avenue at Columbus Avenue,1281
Spear at Folsom,San Francisco Caltrain 2 (330 Townsend),1276
Embarcadero at Sansome,Market at 4th,1272
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Vallejo,1260
Embarcadero at Bryant,Embarcadero at Folsom,1252
Howard at 2nd,2nd at Townsend,1246
Civic Center BART (7th at Market),South Van Ness at Market,1233
Mechanics Plaza (Market at Battery),Market at 4th,1231
Harry Bridges Plaza (Ferry Building),Howard at 2nd,1230
Temporary Transbay Terminal (Howard at Beale),2nd at South Park,1229
2nd at South Park,Temporary Transbay Terminal (Howard at Beale),1229
Market at 10th,Civic Center BART (7th at Market),1226
Embarcadero at Sansome,Embarcadero at Bryant,1216
2nd at Townsend,2nd at Folsom,1215
Post at Kearny,San Francisco Caltrain (Townsend at 4th),1202
South Van Ness at Market,Market at 4th,1200
Embarcadero at Sansome,Mechanics Plaza (Market at Battery),1199
Palo Alto Caltrain Station,Cowper at University,1195
Civic Center BART (7th at Market),Market at 4th,1187
University and Emerson,University and Emerson,1184
Powell at Post (Union Square),San Francisco Caltrain (Townsend at 4th),1181
Townsend at 7th,South Van Ness at Market,1179
Grant Avenue at Columbus Avenue,Temporary Transbay Terminal (Howard at Beale),1179
2nd at Townsend,Spear at Folsom,1173
Grant Avenue at Columbus Avenue,Market at 4th,1161
San Francisco Caltrain 2 (330 Townsend),South Van Ness at Market,1157
2nd at Townsend,San Francisco Caltrain 2 (330 Townsend),1156
San Francisco Caltrain (Townsend at 4th),South Van Ness at Market,1156
Mountain View Caltrain Station,Evelyn Park and Ride,1146
Broadway St at Battery St,Temporary Transbay Terminal (Howard at Beale),1143
Clay at Battery,Embarcadero at Sansome,1139
San Francisco Caltrain (Townsend at 4th),Commercial at Montgomery,1134
Civic Center BART (7th at Market),Market at 10th,1133
Market at Sansome,Steuart at Market,1131
San Francisco Caltrain 2 (330 Townsend),2nd at Folsom,1128
Embarcadero at Sansome,Davis at Jackson,1126
MLK Library,San Jose Diridon Caltrain Station,1119
Embarcadero at Sansome,Powell Street BART,1117
Broadway St at Battery St,Mechanics Plaza (Market at Battery),1115
Temporary Transbay Terminal (Howard at Beale),Clay at Battery,1112
San Francisco Caltrain 2 (330 Townsend),Civic Center BART (7th at Market),1107
Powell at Post (Union Square),Howard at 2nd,1101
San Jose Diridon Caltrain Station,MLK Library,1097
San Francisco Caltrain 2 (330 Townsend),Davis at Jackson,1093
Embarcadero at Bryant,Mechanics Plaza (Market at Battery),1092
2nd at Folsom,Spear at Folsom,1089
San Francisco Caltrain (Townsend at 4th),Post at Kearny,1087
South Van Ness at Market,Townsend at 7th,1084
2nd at Folsom,Temporary Transbay Terminal (Howard at Beale),1080
Howard at 2nd,5th at Howard,1077
Grant Avenue at Columbus Avenue,Beale at Market,1075
Harry Bridges Plaza (Ferry Building),Market at 4th,1074
Powell Street BART,Market at Sansome,1072
Embarcadero at Vallejo,Harry Bridges Plaza (Ferry Building),1072
Adobe on Almaden,San Jose Diridon Caltrain Station,1059
Beale at Market,Embarcadero at Vallejo,1057
Steuart at Market,2nd at South Park,1055
San Francisco Caltrain 2 (330 Townsend),Market at 4th,1052
Davis at Jackson,2nd at Townsend,1046
Grant Avenue at Columbus Avenue,Commercial at Montgomery,1045
Civic Center BART (7th at Market),San Francisco Caltrain 2 (330 Townsend),1045
Broadway St at Battery St,San Francisco Caltrain 2 (330 Townsend),1040
Clay at Battery,Temporary Transbay Terminal (Howard at Beale),1035
Beale at Market,Commercial at Montgomery,1029
Embarcadero at Bryant,2nd at Townsend,1028
Powell at Post (Union Square),Embarcadero at Sansome,1024
2nd at Townsend,Davis at Jackson,1021
Paseo de San Antonio,San Jose Diridon Caltrain Station,1017
Harry Bridges Plaza (Ferry Building),2nd at Folsom,1015
Steuart at Market,Embarcadero at Folsom,1013
Temporary Transbay Terminal (Howard at Beale),South Van Ness at Market,1006
Howard at 2nd,Harry Bridges Plaza (Ferry Building),1006
San Francisco Caltrain 2 (330 Townsend),Beale at Market,1003
Howard at 2nd,Steuart at Market,1003
Market at Sansome,Commercial at Montgomery,1001
Market at Sansome,Davis at Jackson,1000
San Francisco Caltrain (Townsend at 4th),Civic Center BART (7th at Market),1000
Temporary Transbay Terminal (Howard at Beale),Market at 10th,994
Golden Gate at Polk,San Francisco Caltrain 2 (330 Townsend),984
San Jose Diridon Caltrain Station,Japantown,984
San Jose Diridon Caltrain Station,Adobe on Almaden,981
Market at 4th,Steuart at Market,981
Harry Bridges Plaza (Ferry Building),Mechanics Plaza (Market at Battery),974
Civic Center BART (7th at Market),San Francisco Caltrain (Townsend at 4th),973
Townsend at 7th,Market at 10th,973
Embarcadero at Bryant,San Francisco Caltrain 2 (330 Townsend),970
Harry Bridges Plaza (Ferry Building),Powell Street BART,957
Grant Avenue at Columbus Avenue,Clay at Battery,953
Powell Street BART,Civic Center BART (7th at Market),952
Temporary Transbay Terminal (Howard at Beale),Howard at 2nd,948
Market at 4th,Market at 4th,944
2nd at Folsom,2nd at South Park,944
Embarcadero at Vallejo,Temporary Transbay Terminal (Howard at Beale),940
Market at 4th,Civic Center BART (7th at Market),932
Commercial at Montgomery,Davis at Jackson,929
Steuart at Market,Howard at 2nd,927
Harry Bridges Plaza (Ferry Building),Yerba Buena Center of the Arts (3rd @ Howard),926
Market at 10th,Steuart at Market,919
San Francisco Caltrain 2 (330 Townsend),Broadway St at Battery St,913
Civic Center BART (7th at Market),Market at Sansome,912
Steuart at Market,Steuart at Market,911
