
day,trips,subscriber_type
2014-05-01,123,Customer
2014-05-02,103,Customer
2014-05-03,201,Customer
2014-05-04,200,Customer
2014-05-05,141,Customer
2014-05-06,92,Customer
2014-05-07,112,Customer
2014-05-08,102,Customer
2014-05-09,135,Customer
2014-05-10,223,Customer
2014-05-11,185,Customer
2014-05-12,114,Customer
2014-05-13,115,Customer
2014-05-14,133,Customer
2014-05-15,141,Customer
2014-05-16,211,Customer
2014-05-17,234,Customer
2014-05-18,214,Customer
2014-05-19,169,Customer
2014-05-20,109,Customer
2014-05-21,111,Customer
2014-05-22,142,Customer
2014-05-23,169,Customer
2014-05-24,243,Customer
2014-05-25,343,Customer
2014-05-26,272,Customer
2014-05-27,128,Customer
2014-05-28,181,Customer
2014-05-29,133,Customer
2014-05-30,126,Customer
2014-05-31,220,Customer
2014-06-01,279,Customer
2014-06-02,130,Customer
2014-06-03,151,Customer
2014-06-04,185,Customer
2014-06-05,124,Customer
2014-06-06,182,Customer
2014-06-07,200,Customer
2014-06-08,272,Customer
2014-06-09,128,Customer
2014-06-10,146,Customer
2014-06-11,113,Customer
2014-06-12,114,Customer
2014-06-13,117,Customer
2014-06-14,201,Customer
2014-06-15,214,Customer
2014-06-16,115,Customer
2014-06-17,96,Customer
2014-06-18,160,Customer
2014-06-19,123,Customer
2014-06-20,137,Customer
2014-06-21,166,Customer
2014-06-22,218,Customer
2014-06-23,98,Customer
2014-06-24,138,Customer
2014-06-25,107,Customer
2014-06-26,162,Customer
2014-06-27,153,Customer
2014-06-28,234,Customer
2014-06-29,226,Customer
2014-06-30,143,Customer
2014-07-01,99,Customer
2014-07-02,141,Customer
2014-07-03,192,Customer
2014-07-04,260,Customer
2014-07-05,224,Customer
2014-07-06,184,Customer
2014-07-07,104,Customer
2014-07-08,85,Customer
2014-07-09,130,Customer
2014-07-10,106,Customer
2014-07-11,138,Customer
2014-07-12,249,Customer
2014-07-13,226,Customer
2014-07-14,108,Customer
2014-07-15,137,Customer
2014-07-16,92,Customer
2014-07-17,122,Customer
2014-07-18,160,Customer
2014-07-19,238,Customer
2014-07-20,234,Customer
2014-07-21,121,Customer
2014-07-22,133,Customer
2014-07-23,163,Customer
2014-07-24,133,Customer
2014-07-25,176,Customer
2014-07-26,258,Customer
2014-07-27,216,Customer
2014-07-28,130,Customer
2014-07-29,170,Customer
2014-07-30,212,Customer
2014-07-31,211,Customer
2014-08-01,174,Customer
2014-08-02,158,Customer
2014-08-03,172,Customer
2014-08-04,98,Customer
2014-08-05,144,Customer
2014-08-06,147,Customer
2014-08-07,155,Customer
2014-08-08,213,Customer
2014-08-09,179,Customer
2014-08-10,280,Customer
2014-08-11,149,Customer
2014-08-12,191,Customer
2014-08-13,154,Customer
2014-08-14,172,Customer
2014-08-15,193,Customer
2014-08-16,263,Customer
2014-08-17,214,Customer
2014-08-18,133,Customer
2014-08-19,120,Customer
2014-08-20,143,Customer
2014-08-21,119,Customer
2014-08-22,168,Customer
2014-08-23,252,Customer
2014-08-24,180,Customer
2014-08-25,158,Customer
2014-08-26,214,Customer
2014-08-27,182,Customer
2014-08-28,126,Customer
2014-08-29,217,Customer
2014-08-30,301,Customer
2014-08-31,340,Customer
2014-09-01,207,Customer
2014-09-02,95,Customer
2014-09-03,90,Customer
2014-09-04,108,Customer
2014-09-05,108,Customer
2014-09-06,218,Customer
2014-09-07,174,Customer
2014-09-08,112,Customer
2014-09-09,113,Customer
2014-09-10,126,Customer
2014-09-11,154,Customer
2014-09-12,169,Customer
2014-09-13,326,Customer
2014-09-14,241,Customer
2014-09-15,155,Customer
2014-09-16,106,Customer
2014-09-17,135,Customer
2014-09-18,80,Customer
2014-09-19,119,Customer
2014-09-20,174,Customer
2014-09-21,120,Customer
2014-09-22,135,Customer
2014-09-23,91,Customer
2014-09-24,78,Customer
2014-09-25,109,Customer
2014-09-26,114,Customer
2014-09-27,232,Customer
2014-09-28,177,Customer
2014-09-29,73,Customer
2014-09-30,87,Customer
2014-10-01,115,Customer
2014-10-02,153,Customer
2014-10-03,117,Customer
2014-10-04,209,Customer
2014-10-05,173,Customer
2014-10-06,78,Customer
2014-10-07,107,Customer
2014-10-08,59,Customer
2014-10-09,85,Customer
2014-10-10,167,Customer
2014-10-11,275,Customer
2014-10-12,219,Customer
2014-10-13,100,Customer
2014-10-14,141,Customer
2014-10-15,137,Customer
2014-10-16,126,Customer
2014-10-17,147,Customer
2014-10-18,231,Customer
2014-10-19,224,Customer
2014-10-20,87,Customer
2014-10-21,83,Customer
2014-10-22,78,Customer
2014-10-23,129,Customer
2014-10-24,190,Customer
2014-10-25,168,Customer
2014-10-26,239,Customer
2014-10-27,92,Customer
2014-10-28,130,Customer
2014-10-29,145,Customer
2014-10-30,87,Customer
2014-10-31,96,Customer
2014-11-01,139,Customer
2014-11-02,146,Customer
2014-11-03,86,Customer
2014-11-04,43,Customer
2014-11-05,95,Customer
