
start_station_name,end_station_name,trips
Market at 4th,Temporary Transbay Terminal (Howard at Beale),1104
Temporary Transbay Terminal (Howard at Beale),Broadway St at Battery St,1101
Embarcadero at Folsom,2nd at Townsend,1078
Townsend at 7th,Temporary Transbay Terminal (Howard at Beale),1058
Powell Street BART,Market at 10th,1039
Spear at Folsom,2nd at Townsend,1037
Temporary Transbay Terminal (Howard at Beale),2nd at South Park,1035
Clay at Battery,San Francisco Caltrain (Townsend at 4th),1034
Embarcadero at Sansome,Beale at Market,1029
San Francisco Caltrain (Townsend at 4th),Commercial at Montgomery,1017
Harry Bridges Plaza (Ferry Building),Market at Sansome,1016
San Francisco Caltrain 2 (330 Townsend),Yerba Buena Center of the Arts (3rd @ Howard),1009
Market at 4th,Market at 10th,1007
San Francisco Caltrain 2 (330 Townsend),Davis at Jackson,1003
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain 2 (330 Townsend),1003
Grant Avenue at Columbus Avenue,San Francisco Caltrain (Townsend at 4th),999
San Jose Diridon Caltrain Station,Paseo de San Antonio,994
South Van Ness at Market,San Francisco Caltrain 2 (330 Townsend),994
Steuart at Market,Embarcadero at Vallejo,985
Broadway St at Battery St,Steuart at Market,984
Broadway St at Battery St,Beale at Market,983
2nd at Townsend,Townsend at 7th,973
Harry Bridges Plaza (Ferry Building),Howard at 2nd,970
Steuart at Market,Embarcadero at Bryant,951
2nd at Townsend,Embarcadero at Folsom,950
Grant Avenue at Columbus Avenue,Temporary Transbay Terminal (Howard at Beale),942
Beale at Market,2nd at Townsend,936
Temporary Transbay Terminal (Howard at Beale),Market at 4th,936
San Francisco Caltrain (Townsend at 4th),2nd at South Park,926
San Francisco Caltrain (Townsend at 4th),Market at 4th,925
2nd at Townsend,Howard at 2nd,922
Beale at Market,Embarcadero at Sansome,918
San Francisco Caltrain 2 (330 Townsend),South Van Ness at Market,915
Beale at Market,San Francisco Caltrain 2 (330 Townsend),912
Palo Alto Caltrain Station,Cowper at University,912
South Van Ness at Market,Market at Sansome,908
Cowper at University,Palo Alto Caltrain Station,904
2nd at South Park,Temporary Transbay Terminal (Howard at Beale),903
Market at Sansome,2nd at Folsom,894
Temporary Transbay Terminal (Howard at Beale),South Van Ness at Market,893
Evelyn Park and Ride,Mountain View Caltrain Station,891
Embarcadero at Sansome,San Francisco Caltrain (Townsend at 4th),889
2nd at Folsom,San Francisco Caltrain 2 (330 Townsend),886
Market at 4th,San Francisco Caltrain 2 (330 Townsend),883
Commercial at Montgomery,Temporary Transbay Terminal (Howard at Beale),883
Grant Avenue at Columbus Avenue,Beale at Market,881
Mountain View Caltrain Station,Evelyn Park and Ride,879
Market at 10th,Market at Sansome,869
San Antonio Shopping Center,San Antonio Caltrain Station,868
San Francisco Caltrain (Townsend at 4th),Post at Kearny,867
Broadway St at Battery St,Temporary Transbay Terminal (Howard at Beale),867
Market at Sansome,Harry Bridges Plaza (Ferry Building),864
Temporary Transbay Terminal (Howard at Beale),Market at 10th,860
San Francisco Caltrain 2 (330 Townsend),2nd at Folsom,858
Temporary Transbay Terminal (Howard at Beale),Clay at Battery,851
Embarcadero at Sansome,Temporary Transbay Terminal (Howard at Beale),844
Embarcadero at Bryant,Harry Bridges Plaza (Ferry Building),842
San Francisco Caltrain (Townsend at 4th),South Van Ness at Market,842
San Jose Diridon Caltrain Station,MLK Library,841
