
start_station_name,end_station_name,trips
San Jose Diridon Caltrain Station,San Salvador at 1st,228
Yerba Buena Center of the Arts (3rd @ Howard),Market at Sansome,228
Powell at Post (Union Square),5th at Howard,227
Rengstorff Avenue / California Street,San Antonio Caltrain Station,226
Grant Avenue at Columbus Avenue,Harry Bridges Plaza (Ferry Building),226
Davis at Jackson,Commercial at Montgomery,225
Commercial at Montgomery,Beale at Market,225
San Salvador at 1st,MLK Library,224
Davis at Jackson,Davis at Jackson,223
Post at Kearny,2nd at South Park,222
Howard at 2nd,Market at 10th,221
San Francisco City Hall,San Francisco Caltrain (Townsend at 4th),220
Civic Center BART (7th at Market),Mechanics Plaza (Market at Battery),220
Civic Center BART (7th at Market),Powell Street BART,220
2nd at Folsom,Market at 4th,219
Powell at Post (Union Square),2nd at South Park,219
5th at Howard,Civic Center BART (7th at Market),218
Mountain View Caltrain Station,San Antonio Shopping Center,216
San Francisco Caltrain (Townsend at 4th),San Francisco Caltrain (Townsend at 4th),216
Mezes Park,Redwood City Caltrain Station,216
Market at 10th,Harry Bridges Plaza (Ferry Building),215
Temporary Transbay Terminal (Howard at Beale),Davis at Jackson,215
Civic Center BART (7th at Market),Golden Gate at Polk,215
Spear at Folsom,Embarcadero at Bryant,214
Powell at Post (Union Square),Beale at Market,212
Yerba Buena Center of the Arts (3rd @ Howard),Powell Street BART,212
2nd at Folsom,Howard at 2nd,212
San Jose City Hall,San Salvador at 1st,211
5th at Howard,Powell Street BART,210
Embarcadero at Bryant,Beale at Market,210
Beale at Market,Market at 4th,208
2nd at South Park,Market at 10th,207
Market at 4th,Spear at Folsom,207
2nd at Folsom,Commercial at Montgomery,206
Post at Kearny,Steuart at Market,205
Powell at Post (Union Square),Yerba Buena Center of the Arts (3rd @ Howard),204
2nd at Townsend,Yerba Buena Center of the Arts (3rd @ Howard),204
Golden Gate at Polk,5th at Howard,204
2nd at South Park,Washington at Kearny,203
Broadway St at Battery St,Embarcadero at Bryant,203
Townsend at 7th,Embarcadero at Bryant,202
Commercial at Montgomery,Market at 4th,200
San Antonio Caltrain Station,Rengstorff Avenue / California Street,200
Davis at Jackson,Market at 4th,200
Post at Kearny,Washington at Kearny,200
San Francisco Caltrain 2 (330 Townsend),Powell at Post (Union Square),200
San Jose Diridon Caltrain Station,SJSU 4th at San Carlos,198
Clay at Battery,Market at Sansome,198
Embarcadero at Bryant,Spear at Folsom,198
Powell at Post (Union Square),Steuart at Market,198
5th at Howard,Commercial at Montgomery,198
2nd at Townsend,2nd at Townsend,197
San Francisco City Hall,Townsend at 7th,197
Powell Street BART,San Francisco City Hall,196
2nd at South Park,Powell Street BART,196
Temporary Transbay Terminal (Howard at Beale),Post at Kearny,196
Townsend at 7th,5th at Howard,195
Post at Kearny,Market at 10th,195
Embarcadero at Vallejo,Embarcadero at Folsom,195
Market at 4th,Davis at Jackson,195
Commercial at Montgomery,5th at Howard,194
2nd at Folsom,Embarcadero at Folsom,193
Harry Bridges Plaza (Ferry Building),Commercial at Montgomery,193
Grant Avenue at Columbus Avenue,Market at 10th,193
2nd at Townsend,Post at Kearny,192
Beale at Market,Market at 10th,192
Golden Gate at Polk,Market at 10th,192
Steuart at Market,5th at Howard,191
2nd at South Park,2nd at Folsom,190
Powell at Post (Union Square),Broadway St at Battery St,189
Steuart at Market,Powell Street BART,189
Embarcadero at Folsom,Harry Bridges Plaza (Ferry Building),189
Harry Bridges Plaza (Ferry Building),Spear at Folsom,188
Commercial at Montgomery,Spear at Folsom,188
South Van Ness at Market,Howard at 2nd,188
2nd at South Park,Clay at Battery,187
Powell at Post (Union Square),Commercial at Montgomery,187
Market at 10th,Commercial at Montgomery,187
Davis at Jackson,Powell at Post (Union Square),187
2nd at Townsend,2nd at South Park,186
San Jose City Hall,San Jose Diridon Caltrain Station,186
Spear at Folsom,Beale at Market,186
Clay at Battery,Powell Street BART,185
Post at Kearny,Harry Bridges Plaza (Ferry Building),185
Market at Sansome,Clay at Battery,184
Civic Center BART (7th at Market),Clay at Battery,184
Powell Street BART,Embarcadero at Sansome,184
Davis at Jackson,Market at Sansome,184
Mechanics Plaza (Market at Battery),Broadway St at Battery St,184
Steuart at Market,Davis at Jackson,183
SJSU 4th at San Carlos,Santa Clara at Almaden,183
Clay at Battery,Grant Avenue at Columbus Avenue,181
Spear at Folsom,Market at 4th,181
Embarcadero at Sansome,Golden Gate at Polk,181
Harry Bridges Plaza (Ferry Building),Powell at Post (Union Square),181
Golden Gate at Polk,Embarcadero at Sansome,181
Post at Kearny,Townsend at 7th,180
Mechanics Plaza (Market at Battery),Spear at Folsom,180
Market at Sansome,Market at 4th,180
2nd at South Park,5th at Howard,180
Powell at Post (Union Square),Harry Bridges Plaza (Ferry Building),178
Grant Avenue at Columbus Avenue,Post at Kearny,178
Washington at Kearny,San Francisco Caltrain 2 (330 Townsend),177
South Van Ness at Market,Commercial at Montgomery,176
Washington at Kearny,San Francisco Caltrain (Townsend at 4th),176
San Jose Civic Center,San Jose Diridon Caltrain Station,175
Broadway St at Battery St,Powell at Post (Union Square),175
Market at 10th,Spear at Folsom,174
Grant Avenue at Columbus Avenue,2nd at Folsom,173
Townsend at 7th,Yerba Buena Center of the Arts (3rd @ Howard),173
2nd at South Park,Yerba Buena Center of the Arts (3rd @ Howard),173
Yerba Buena Center of the Arts (3rd @ Howard),South Van Ness at Market,173
5th at Howard,Embarcadero at Sansome,172
Steuart at Market,Steuart at Market,172
Yerba Buena Center of the Arts (3rd @ Howard),Harry Bridges Plaza (Ferry Building),172
2nd at South Park,Grant Avenue at Columbus Avenue,171
Steuart at Market,Grant Avenue at Columbus Avenue,170
Temporary Transbay Terminal (Howard at Beale),Spear at Folsom,170
Grant Avenue at Columbus Avenue,Davis at Jackson,169
San Francisco Caltrain 2 (330 Townsend),San Francisco Caltrain 2 (330 Townsend),169
Harry Bridges Plaza (Ferry Building),Davis at Jackson,169
Washington at Kearny,2nd at South Park,169
South Van Ness at Market,Yerba Buena Center of the Arts (3rd @ Howard),168
Embarcadero at Bryant,Temporary Transbay Terminal (Howard at Beale),168
5th at Howard,Spear at Folsom,168
2nd at Folsom,Civic Center BART (7th at Market),167
Embarcadero at Sansome,Howard at 2nd,167
Spear at Folsom,2nd at Folsom,167
Harry Bridges Plaza (Ferry Building),Grant Avenue at Columbus Avenue,166
Embarcadero at Folsom,Howard at 2nd,166
Market at 4th,Beale at Market,165
Washington at Kearny,Beale at Market,165
Embarcadero at Sansome,Commercial at Montgomery,165
Golden Gate at Polk,Market at 4th,164
Commercial at Montgomery,2nd at Townsend,164
Market at Sansome,Spear at Folsom,164
Grant Avenue at Columbus Avenue,Embarcadero at Sansome,164
San Francisco City Hall,Powell Street BART,163
Yerba Buena Center of the Arts (3rd @ Howard),Steuart at Market,163
2nd at Folsom,Grant Avenue at Columbus Avenue,162
Arena Green / SAP Center,Santa Clara at Almaden,161
Davis at Jackson,Mechanics Plaza (Market at Battery),161
2nd at South Park,Powell at Post (Union Square),160
Grant Avenue at Columbus Avenue,Powell at Post (Union Square),160
Embarcadero at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),160
Howard at 2nd,Embarcadero at Folsom,159
Market at 4th,Howard at 2nd,158
Howard at 2nd,Powell Street BART,158
South Van Ness at Market,Steuart at Market,158
Cowper at University,University and Emerson,158
Powell at Post (Union Square),Post at Kearny,157
Civic Center BART (7th at Market),5th at Howard,156
Broadway St at Battery St,Davis at Jackson,156
Townsend at 7th,Commercial at Montgomery,155
Market at 4th,Mechanics Plaza (Market at Battery),155
Broadway St at Battery St,Market at 4th,154
San Francisco City Hall,Market at Sansome,154
Market at Sansome,Embarcadero at Bryant,153
Spear at Folsom,Davis at Jackson,153
Post at Kearny,Grant Avenue at Columbus Avenue,153
Harry Bridges Plaza (Ferry Building),Broadway St at Battery St,152
Davis at Jackson,Howard at 2nd,152
Harry Bridges Plaza (Ferry Building),Clay at Battery,151
Broadway St at Battery St,Spear at Folsom,151
University and Emerson,University and Emerson,150
Grant Avenue at Columbus Avenue,Howard at 2nd,150
Powell at Post (Union Square),Civic Center BART (7th at Market),150
2nd at Folsom,5th at Howard,150
Howard at 2nd,Powell at Post (Union Square),150
Santa Clara County Civic Center,San Pedro Square,149
Spear at Folsom,Broadway St at Battery St,149
2nd at South Park,Embarcadero at Folsom,149
Spear at Folsom,Howard at 2nd,149
Davis at Jackson,Steuart at Market,148
Powell Street BART,Powell Street BART,148
Steuart at Market,Market at 10th,148
Market at Sansome,Beale at Market,148
Davis at Jackson,Broadway St at Battery St,148
Steuart at Market,Golden Gate at Polk,148
2nd at Townsend,Grant Avenue at Columbus Avenue,147
Broadway St at Battery St,Civic Center BART (7th at Market),147
South Van Ness at Market,Embarcadero at Folsom,147
Steuart at Market,Washington at Kearny,146
San Francisco City Hall,Market at 4th,146
Steuart at Market,Temporary Transbay Terminal (Howard at Beale),146
Howard at 2nd,Civic Center BART (7th at Market),146
Commercial at Montgomery,2nd at South Park,145
Davis at Jackson,Embarcadero at Folsom,145
Post at Kearny,Temporary Transbay Terminal (Howard at Beale),145
Powell Street BART,2nd at Townsend,145
Washington at Kearny,Temporary Transbay Terminal (Howard at Beale),145
San Antonio Shopping Center,Mountain View Caltrain Station,145
Clay at Battery,Spear at Folsom,145
Golden Gate at Polk,Civic Center BART (7th at Market),144
Powell Street BART,Mechanics Plaza (Market at Battery),144
Market at 10th,Market at 10th,143
Redwood City Medical Center,Redwood City Caltrain Station,143
Mountain View Caltrain Station,Mountain View Caltrain Station,143
Embarcadero at Folsom,Grant Avenue at Columbus Avenue,143
Post at Kearny,South Van Ness at Market,142
Civic Center BART (7th at Market),Commercial at Montgomery,140
5th at Howard,South Van Ness at Market,140
2nd at Townsend,Embarcadero at Bryant,139
Embarcadero at Sansome,Civic Center BART (7th at Market),139
Embarcadero at Sansome,Embarcadero at Vallejo,139
Washington at Kearny,Mechanics Plaza (Market at Battery),139
Embarcadero at Bryant,Embarcadero at Bryant,139
Howard at 2nd,Temporary Transbay Terminal (Howard at Beale),139
Market at 4th,Market at 4th,138
Paseo de San Antonio,Japantown,138
2nd at South Park,Davis at Jackson,138
South Van Ness at Market,5th at Howard,138
Ryland Park,San Jose Civic Center,137
Steuart at Market,Market at Sansome,137
Yerba Buena Center of the Arts (3rd @ Howard),Grant Avenue at Columbus Avenue,136
Townsend at 7th,2nd at South Park,136
Golden Gate at Polk,Powell Street BART,135
Spear at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),135
Market at 4th,Grant Avenue at Columbus Avenue,135
Clay at Battery,Market at 4th,134
Golden Gate at Polk,Post at Kearny,134
Powell Street BART,Golden Gate at Polk,134
Commercial at Montgomery,Embarcadero at Folsom,134
Powell at Post (Union Square),Powell Street BART,133
Paseo de San Antonio,SJSU - San Salvador at 9th,133
Market at 4th,Washington at Kearny,133
Market at 4th,Commercial at Montgomery,133
Embarcadero at Bryant,2nd at Folsom,132
Howard at 2nd,Yerba Buena Center of the Arts (3rd @ Howard),132
Broadway St at Battery St,Harry Bridges Plaza (Ferry Building),132
Commercial at Montgomery,Harry Bridges Plaza (Ferry Building),131
Yerba Buena Center of the Arts (3rd @ Howard),2nd at Townsend,130
Commercial at Montgomery,Broadway St at Battery St,130
Market at 4th,Yerba Buena Center of the Arts (3rd @ Howard),129
Davis at Jackson,Harry Bridges Plaza (Ferry Building),128
Market at 10th,Embarcadero at Sansome,128
Broadway St at Battery St,Embarcadero at Sansome,128
Clay at Battery,Embarcadero at Bryant,127
Townsend at 7th,Townsend at 7th,127
2nd at South Park,Embarcadero at Sansome,127
Clay at Battery,Howard at 2nd,126
Civic Center BART (7th at Market),Grant Avenue at Columbus Avenue,126
Commercial at Montgomery,Townsend at 7th,125
Beale at Market,South Van Ness at Market,125
Civic Center BART (7th at Market),2nd at South Park,124
Spear at Folsom,Embarcadero at Vallejo,124
Clay at Battery,Broadway St at Battery St,124
2nd at South Park,Commercial at Montgomery,124
Embarcadero at Folsom,Broadway St at Battery St,123
Commercial at Montgomery,Market at 10th,123
2nd at Folsom,Beale at Market,123
2nd at South Park,Beale at Market,123
Davis at Jackson,Civic Center BART (7th at Market),123
Steuart at Market,Civic Center BART (7th at Market),123
Spear at Folsom,Market at Sansome,122
Market at 4th,2nd at Folsom,121
Powell at Post (Union Square),Powell at Post (Union Square),121
San Salvador at 1st,San Jose Diridon Caltrain Station,121
Spear at Folsom,5th at Howard,121
San Francisco City Hall,Mechanics Plaza (Market at Battery),121
Davis at Jackson,Embarcadero at Bryant,120
Howard at 2nd,Embarcadero at Sansome,120
Grant Avenue at Columbus Avenue,Civic Center BART (7th at Market),120
Powell at Post (Union Square),2nd at Folsom,120
2nd at Townsend,Powell Street BART,119
Redwood City Caltrain Station,Mezes Park,119
Clay at Battery,2nd at South Park,119
Yerba Buena Center of the Arts (3rd @ Howard),Temporary Transbay Terminal (Howard at Beale),118
Post at Kearny,Howard at 2nd,118
Embarcadero at Sansome,Grant Avenue at Columbus Avenue,117
Civic Center BART (7th at Market),Civic Center BART (7th at Market),117
Temporary Transbay Terminal (Howard at Beale),Washington at Kearny,116
Embarcadero at Folsom,Mechanics Plaza (Market at Battery),116
2nd at Folsom,Embarcadero at Bryant,116
Clay at Battery,Townsend at 7th,115
Santa Clara at Almaden,Arena Green / SAP Center,115
Embarcadero at Sansome,Powell at Post (Union Square),114
Kaiser Hospital,Redwood City Caltrain Station,114
Embarcadero at Folsom,Commercial at Montgomery,114
South Van Ness at Market,2nd at Townsend,114
5th at Howard,Howard at 2nd,113
Clay at Battery,2nd at Folsom,113
2nd at South Park,2nd at South Park,113
Mechanics Plaza (Market at Battery),5th at Howard,113
5th at Howard,Clay at Battery,112
Powell at Post (Union Square),Grant Avenue at Columbus Avenue,112
Washington at Kearny,5th at Howard,111
Harry Bridges Plaza (Ferry Building),Embarcadero at Folsom,111
Clay at Battery,Embarcadero at Folsom,111
Mechanics Plaza (Market at Battery),2nd at South Park,111
Powell at Post (Union Square),2nd at Townsend,111
Embarcadero at Sansome,Broadway St at Battery St,111
Steuart at Market,2nd at Folsom,111
Clay at Battery,Beale at Market,110
Embarcadero at Folsom,Market at Sansome,110
2nd at Townsend,5th at Howard,110
5th at Howard,Golden Gate at Polk,110
Embarcadero at Vallejo,Embarcadero at Vallejo,110
Market at 4th,Golden Gate at Polk,109
Market at Sansome,Golden Gate at Polk,109
Embarcadero at Sansome,Townsend at 7th,108
2nd at Folsom,Powell at Post (Union Square),108
Commercial at Montgomery,Howard at 2nd,108
Beale at Market,Harry Bridges Plaza (Ferry Building),108
Commercial at Montgomery,Powell at Post (Union Square),108
Market at Sansome,San Francisco City Hall,108
Embarcadero at Sansome,Yerba Buena Center of the Arts (3rd @ Howard),108
Commercial at Montgomery,South Van Ness at Market,106
Broadway St at Battery St,Embarcadero at Folsom,106
Washington at Kearny,Market at 4th,106
Civic Center BART (7th at Market),Washington at Kearny,106
Washington at Kearny,Market at Sansome,106
Post at Kearny,Commercial at Montgomery,105
5th at Howard,2nd at South Park,105
Embarcadero at Bryant,Davis at Jackson,105
Clay at Battery,Civic Center BART (7th at Market),105
Powell Street BART,2nd at Folsom,104
San Pedro Square,Japantown,104
Commercial at Montgomery,San Francisco City Hall,104
2nd at South Park,Civic Center BART (7th at Market),104
Davis at Jackson,2nd at South Park,104
Post at Kearny,Market at 4th,104
Market at 10th,Washington at Kearny,103
Market at 4th,Embarcadero at Bryant,103
Civic Center BART (7th at Market),Post at Kearny,103
Townsend at 7th,Post at Kearny,103
Grant Avenue at Columbus Avenue,Washington at Kearny,102
Embarcadero at Vallejo,Spear at Folsom,102
Post at Kearny,2nd at Townsend,102
Golden Gate at Polk,South Van Ness at Market,102
Golden Gate at Polk,Mechanics Plaza (Market at Battery),101
Powell Street BART,Market at 4th,101
Market at Sansome,Embarcadero at Folsom,101
California Ave Caltrain Station,Palo Alto Caltrain Station,101
Palo Alto Caltrain Station,Palo Alto Caltrain Station,101
SJSU 4th at San Carlos,San Jose Diridon Caltrain Station,101
Market at 10th,Golden Gate at Polk,101
Clay at Battery,Mechanics Plaza (Market at Battery),100
Washington at Kearny,Harry Bridges Plaza (Ferry Building),100
Beale at Market,Golden Gate at Polk,100
Post at Kearny,5th at Howard,100
Commercial at Montgomery,Embarcadero at Sansome,99
2nd at South Park,South Van Ness at Market,99
South Van Ness at Market,Market at 10th,99
2nd at Townsend,Powell at Post (Union Square),99
Mechanics Plaza (Market at Battery),Golden Gate at Polk,99
Steuart at Market,Powell at Post (Union Square),98
Embarcadero at Bryant,Howard at 2nd,98
Mechanics Plaza (Market at Battery),Grant Avenue at Columbus Avenue,98
Washington at Kearny,Embarcadero at Folsom,98
Embarcadero at Folsom,Washington at Kearny,98
San Francisco City Hall,Post at Kearny,98
Market at 4th,San Francisco City Hall,98
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Folsom,98
Spear at Folsom,South Van Ness at Market,98
Market at Sansome,Market at Sansome,98
Market at Sansome,Washington at Kearny,97
South Van Ness at Market,2nd at Folsom,97
Embarcadero at Vallejo,Townsend at 7th,97
Mountain View Caltrain Station,San Antonio Caltrain Station,96
5th at Howard,2nd at Folsom,96
2nd at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),95
Washington at Kearny,Market at 10th,95
South Van Ness at Market,Harry Bridges Plaza (Ferry Building),94
Mezes,Redwood City Caltrain Station,94
South Van Ness at Market,Embarcadero at Vallejo,94
Beale at Market,Howard at 2nd,94
Washington at Kearny,Embarcadero at Sansome,93
Market at 10th,South Van Ness at Market,93
Broadway St at Battery St,5th at Howard,93
Beale at Market,Yerba Buena Center of the Arts (3rd @ Howard),92
Beale at Market,Embarcadero at Folsom,92
Golden Gate at Polk,Embarcadero at Vallejo,92
2nd at Townsend,Market at 10th,92
Redwood City Caltrain Station,San Mateo County Center,92
Post at Kearny,Broadway St at Battery St,92
Embarcadero at Folsom,Davis at Jackson,92
Market at 4th,Broadway St at Battery St,91
Temporary Transbay Terminal (Howard at Beale),Temporary Transbay Terminal (Howard at Beale),90
St James Park,Arena Green / SAP Center,90
5th at Howard,Beale at Market,90
Embarcadero at Sansome,Washington at Kearny,90
Steuart at Market,Commercial at Montgomery,90
San Pedro Square,Santa Clara County Civic Center,89
Post at Kearny,Davis at Jackson,89
5th at Howard,Mechanics Plaza (Market at Battery),89
5th at Howard,5th at Howard,89
Civic Center BART (7th at Market),Embarcadero at Folsom,89
Market at Sansome,Embarcadero at Vallejo,89
Beale at Market,Powell at Post (Union Square),89
Market at 4th,Clay at Battery,88
Market at Sansome,Powell at Post (Union Square),88
San Francisco Caltrain (Townsend at 4th),San Francisco City Hall,88
Steuart at Market,Post at Kearny,88
Golden Gate at Polk,Spear at Folsom,87
San Francisco City Hall,Market at 10th,87
Spear at Folsom,Grant Avenue at Columbus Avenue,87
Civic Center BART (7th at Market),Harry Bridges Plaza (Ferry Building),87
Market at 4th,Powell Street BART,87
2nd at South Park,Embarcadero at Bryant,87
Spear at Folsom,Spear at Folsom,86
Redwood City Caltrain Station,Franklin at Maple,86
2nd at South Park,Golden Gate at Polk,86
2nd at Folsom,Davis at Jackson,86
Davis at Jackson,Powell Street BART,86
San Francisco City Hall,Embarcadero at Sansome,86
Grant Avenue at Columbus Avenue,Yerba Buena Center of the Arts (3rd @ Howard),86
Spear at Folsom,Clay at Battery,86
San Pedro Square,St James Park,86
Davis at Jackson,Post at Kearny,86
Clay at Battery,Harry Bridges Plaza (Ferry Building),85
Post at Kearny,Civic Center BART (7th at Market),85
Embarcadero at Sansome,5th at Howard,85
Townsend at 7th,Powell at Post (Union Square),85
Davis at Jackson,Market at 10th,85
University and Emerson,Cowper at University,84
Mechanics Plaza (Market at Battery),Mechanics Plaza (Market at Battery),84
Temporary Transbay Terminal (Howard at Beale),Powell at Post (Union Square),84
Clay at Battery,Powell at Post (Union Square),84
Yerba Buena Center of the Arts (3rd @ Howard),2nd at South Park,84
5th at Howard,Broadway St at Battery St,84
Redwood City Caltrain Station,Redwood City Public Library,84
Civic Center BART (7th at Market),Powell at Post (Union Square),83
Embarcadero at Vallejo,Market at 4th,83
Howard at 2nd,Embarcadero at Bryant,83
Davis at Jackson,Embarcadero at Vallejo,83
Spear at Folsom,Powell at Post (Union Square),83
Powell Street BART,Howard at 2nd,83
Powell Street BART,Post at Kearny,83
Grant Avenue at Columbus Avenue,Grant Avenue at Columbus Avenue,82
Arena Green / SAP Center,St James Park,82
Redwood City Caltrain Station,Mezes,82
Townsend at 7th,Davis at Jackson,82
Clay at Battery,5th at Howard,82
Clay at Battery,Steuart at Market,82
2nd at Folsom,Mechanics Plaza (Market at Battery),82
San Jose Civic Center,San Jose Civic Center,82
Embarcadero at Sansome,2nd at South Park,81
Temporary Transbay Terminal (Howard at Beale),Washington at Kearney,81
Embarcadero at Folsom,Market at 4th,81
Beale at Market,Townsend at 7th,81
San Francisco Caltrain (Townsend at 4th),San Francisco Caltrain 2 (330 Townsend),81
Golden Gate at Polk,Broadway St at Battery St,81
Mechanics Plaza (Market at Battery),Embarcadero at Vallejo,80
Commercial at Montgomery,Steuart at Market,80
Powell Street BART,Grant Avenue at Columbus Avenue,80
Embarcadero at Sansome,Market at 10th,80
Davis at Jackson,Grant Avenue at Columbus Avenue,80
Yerba Buena Center of the Arts (3rd @ Howard),Civic Center BART (7th at Market),80
SJSU 4th at San Carlos,St James Park,79
South Van Ness at Market,South Van Ness at Market,79
Powell Street BART,Clay at Battery,79
Beale at Market,Civic Center BART (7th at Market),79
Townsend at 7th,Embarcadero at Vallejo,78
Howard at 2nd,Grant Avenue at Columbus Avenue,78
5th at Howard,Yerba Buena Center of the Arts (3rd @ Howard),78
St James Park,San Pedro Square,78
Post at Kearny,Golden Gate at Polk,78
5th at Howard,Embarcadero at Folsom,77
5th at Howard,Washington at Kearny,77
Townsend at 7th,Beale at Market,77
Howard at 2nd,Golden Gate at Polk,77
Broadway St at Battery St,Post at Kearny,77
Beale at Market,5th at Howard,77
Cowper at University,California Ave Caltrain Station,77
5th at Howard,2nd at Townsend,77
Yerba Buena Center of the Arts (3rd @ Howard),Beale at Market,76
South Van Ness at Market,Broadway St at Battery St,76
Powell at Post (Union Square),Temporary Transbay Terminal (Howard at Beale),76
Broadway St at Battery St,Powell Street BART,76
Clay at Battery,Clay at Battery,76
Embarcadero at Bryant,Market at Sansome,75
Civic Center BART (7th at Market),Yerba Buena Center of the Arts (3rd @ Howard),75
Embarcadero at Folsom,5th at Howard,75
Yerba Buena Center of the Arts (3rd @ Howard),Clay at Battery,75
Embarcadero at Folsom,Embarcadero at Folsom,75
San Francisco City Hall,Commercial at Montgomery,75
Howard at 2nd,Post at Kearny,75
Embarcadero at Sansome,Post at Kearny,75
San Francisco Caltrain (Townsend at 4th),Post at Kearney,75
South Van Ness at Market,Golden Gate at Polk,74
Clay at Battery,Yerba Buena Center of the Arts (3rd @ Howard),74
Post at Kearney,2nd at South Park,74
San Pedro Square,Ryland Park,74
Howard at 2nd,Spear at Folsom,74
2nd at Townsend,South Van Ness at Market,74
California Ave Caltrain Station,Cowper at University,74
Washington at Kearny,Embarcadero at Bryant,74
Broadway St at Battery St,Market at 10th,73
Embarcadero at Vallejo,Mechanics Plaza (Market at Battery),73
Yerba Buena Center of the Arts (3rd @ Howard),Yerba Buena Center of the Arts (3rd @ Howard),73
Townsend at 7th,Clay at Battery,73
Ryland Park,San Pedro Square,73
5th at Howard,Embarcadero at Vallejo,73
2nd at Folsom,Post at Kearny,73
Embarcadero at Bryant,2nd at South Park,73
Market at 10th,Grant Avenue at Columbus Avenue,72
Post at Kearny,Embarcadero at Sansome,72
Mechanics Plaza (Market at Battery),Yerba Buena Center of the Arts (3rd @ Howard),72
Civic Center BART (7th at Market),2nd at Townsend,72
Post at Kearney,South Van Ness at Market,72
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,71
2nd at Folsom,Embarcadero at Sansome,71
Market at 4th,Embarcadero at Folsom,71
San Francisco Caltrain 2 (330 Townsend),San Francisco Caltrain (Townsend at 4th),71
Grant Avenue at Columbus Avenue,San Francisco City Hall,71
Washington at Kearny,2nd at Townsend,71
Evelyn Park and Ride,Mountain View City Hall,70
South Van Ness at Market,Post at Kearney,70
Spear at Folsom,Temporary Transbay Terminal (Howard at Beale),70
Powell at Post (Union Square),South Van Ness at Market,70
Powell Street BART,2nd at South Park,70
Commercial at Montgomery,Civic Center BART (7th at Market),70
Steuart at Market,South Van Ness at Market,70
Washington at Kearney,Embarcadero at Folsom,70
Commercial at Montgomery,2nd at Folsom,69
San Francisco City Hall,2nd at South Park,69
Japantown,San Pedro Square,69
Temporary Transbay Terminal (Howard at Beale),San Francisco City Hall,69
Embarcadero at Bryant,Market at 4th,69
Yerba Buena Center of the Arts (3rd @ Howard),Post at Kearny,69
Beale at Market,Market at Sansome,68
Market at 10th,Embarcadero at Vallejo,68
Townsend at 7th,Embarcadero at Sansome,68
Post at Kearny,Embarcadero at Folsom,68
St James Park,SJSU 4th at San Carlos,68
Japantown,MLK Library,68
Embarcadero at Bryant,5th at Howard,68
Howard at 2nd,Clay at Battery,68
Mechanics Plaza (Market at Battery),Townsend at 7th,67
Ryland Park,Adobe on Almaden,67
Golden Gate at Polk,2nd at Townsend,67
5th at Howard,Powell at Post (Union Square),67
Civic Center BART (7th at Market),Embarcadero at Vallejo,67
Powell Street BART,Commercial at Montgomery,67
Yerba Buena Center of the Arts (3rd @ Howard),Market at 4th,67
Spear at Folsom,Powell Street BART,67
2nd at South Park,Post at Kearney,67
Civic Center BART (7th at Market),2nd at Folsom,67
San Salvador at 1st,SJSU 4th at San Carlos,67
Civic Center BART (7th at Market),Howard at 2nd,66
University and Emerson,California Ave Caltrain Station,65
San Francisco City Hall,5th at Howard,65
Powell at Post (Union Square),Clay at Battery,65
Palo Alto Caltrain Station,Stanford in Redwood City,65
Commercial at Montgomery,Commercial at Montgomery,64
California Ave Caltrain Station,University and Emerson,64
Embarcadero at Folsom,Civic Center BART (7th at Market),64
Spear at Folsom,Civic Center BART (7th at Market),64
Post at Kearny,Powell Street BART,64
Powell at Post (Union Square),Market at 4th,64
Powell at Post (Union Square),Spear at Folsom,64
Redwood City Caltrain Station,Kaiser Hospital,63
Charleston Park/ North Bayshore Area,Mountain View Caltrain Station,63
Commercial at Montgomery,Post at Kearny,63
Mechanics Plaza (Market at Battery),Washington at Kearny,63
Spear at Folsom,Golden Gate at Polk,63
Clay at Battery,Market at 10th,62
Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Sansome,62
Park at Olive,University and Emerson,62
Post at Kearny,Powell at Post (Union Square),61
2nd at Townsend,Washington at Kearny,60
Mechanics Plaza (Market at Battery),Howard at 2nd,60
2nd at South Park,Broadway St at Battery St,60
Franklin at Maple,Redwood City Caltrain Station,60
Yerba Buena Center of the Arts (3rd @ Howard),Powell at Post (Union Square),60
Civic Center BART (7th at Market),Broadway St at Battery St,60
Embarcadero at Vallejo,5th at Howard,60
Broadway St at Battery St,2nd at South Park,59
Golden Gate at Polk,Post at Kearney,59
2nd at Folsom,Broadway St at Battery St,59
Embarcadero at Folsom,South Van Ness at Market,59
Japantown,Ryland Park,59
Harry Bridges Plaza (Ferry Building),Washington at Kearny,59
Mechanics Plaza (Market at Battery),San Francisco City Hall,59
Harry Bridges Plaza (Ferry Building),Post at Kearney,59
Broadway St at Battery St,South Van Ness at Market,59
Townsend at 7th,Mechanics Plaza (Market at Battery),58
Post at Kearney,Washington at Kearney,58
Howard at 2nd,Howard at 2nd,58
Washington at Kearny,Post at Kearny,58
Market at 4th,Embarcadero at Vallejo,58
South Van Ness at Market,San Francisco City Hall,58
San Salvador at 1st,San Jose City Hall,58
Embarcadero at Bryant,Yerba Buena Center of the Arts (3rd @ Howard),58
